DOC,DEM,farmland,forest,grassland,shrub,wetland,tundra,impermeablelayer,bareland,icesnow,bio12,bio1,t_clay,t_sand,t_silt,solar,DA,DADOM
0.74,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996001678930246,0.998361172871312
1.1,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996664233560322,0.9985710350524
1.49,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996892117008726,0.998677034772122
1.45,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996246993709343,0.998451932082658
1.48,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.997397344680974,0.997847479353028
1.26,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996860894606948,0.998120616568204
1.18,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996829606047214,0.99863896735012
1.44,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996595137859128,0.99860956039124
1.67,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.99654567216144,0.998518109700592
1.34,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996490855005937,0.998583847965156
0.94,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996816241135329,0.998621318179493
2.05,124,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0,0.03062488,0.107898345,0,180,11.79583359,6,83,11,169.0833333,0.996584963056166,0.998237866413815
1.48,142,0.104081143,0.054833293,0.632155707,0,0,0,0.149573382,0.059356475,0,189,11.82499981,21,39,40,172.6666667,0.995927239130496,0.998552403912001
1.26,142,0.104081143,0.054833293,0.632155707,0,0,0,0.149573382,0.059356475,0,189,11.82499981,21,39,40,172.6666667,0.996549270494503,0.998051591843375
1.46,142,0.104081143,0.054833293,0.632155707,0,0,0,0.149573382,0.059356475,0,189,11.82499981,21,39,40,172.6666667,0.996630933904132,0.998615350166706
3.16,1500,0.018463009,0.010006227,0.573808593,0.000991934,0.000108606,0,0.211948101,0.184673531,0,214,7.10416651,24,58,18,187.1666667,0.996885687326186,0.998717941633393
2.25,1500,0.018463009,0.010006227,0.573808593,0.000991934,0.000108606,0,0.211948101,0.184673531,0,214,7.10416651,24,58,18,187.1666667,0.996889720717522,0.998740364245168
5.42,869,0.11665307,0.026559784,0.637860462,0.000737772,0,0,0.169325719,0.048863193,0,264,8.67083359,23,36,41,181.3333333,0.996513595399704,0.99849326903052
3.2,869,0.11665307,0.026559784,0.637860462,0.000737772,0,0,0.169325719,0.048863193,0,264,8.67083359,23,36,41,181.3333333,0.995762139111259,0.998179177036066
