Longitude,Latitude,Elevation,Area,Farmland,Forest,Grassland,Shrubland,Wetland,Impervious,Bareland,Snow and ice,Clay,Sand,Silt,MAP,MAT,Radiation_intensity,DOC,RA_ligDOM,DA_ligDOM,DA_DOM,AImod,DBEC,NOSC,G
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,0.74,0.456737928,0.996001679,0.998361173,0.163501792,0.53391765,0.05807824,58.64477016
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,1.1,0.464534663,0.996664234,0.998571035,0.167491595,0.534020756,0.048000317,58.93199097
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,1.49,0.462733444,0.996892117,0.998677035,0.169579264,0.537627736,0.050878888,58.84995168
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,1.45,0.451741732,0.996246994,0.998451932,0.162406651,0.534413209,0.055117906,58.72913967
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,1.48,0.406213657,0.997397345,0.997847479,0.157504835,0.539966345,-0.02871249,61.11830596
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,1.26,0.455446722,0.996860895,0.998120617,0.168247509,0.540970196,0.064055036,58.47443148
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,1.18,0.453011164,0.996829606,0.998638967,0.166356883,0.541042744,0.07492045,58.16476718
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,1.44,0.45547948,0.996595138,0.99860956,0.16550622,0.536568332,0.056116981,58.70066603
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,1.67,0.440938469,0.996545672,0.99851811,0.160733142,0.538383697,0.064578855,58.45950265
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,1.34,0.451375885,0.996490855,0.998583848,0.161823742,0.53204909,0.04120198,59.12574357
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,0.94,0.464241721,0.996816241,0.998621318,0.17043091,0.539282986,0.060463843,58.57678049
-119.8636111,46.62888889,124,576267.1,0.126037413,0.081371523,0.654016245,5.15943E-05,0,0.03062488,0.107898345,0,6,83,11,180,11.79583359,169.0833333,2.05,0.445516868,0.996584963,0.998237866,0.163389514,0.540894096,0.073629811,58.20155039
-119.4769444,46.2536111,142,31119.07894,0.104081143,0.054833293,0.632155707,0,0,0.149573382,0.059356475,0,21,39,40,189,11.82499981,172.6666667,1.48,0.454350868,0.995927239,0.998552404,0.165169466,0.537843094,0.063011649,58.50416799
-119.4769444,46.2536111,142,31119.07894,0.104081143,0.054833293,0.632155707,0,0,0.149573382,0.059356475,0,21,39,40,189,11.82499981,172.6666667,1.26,0.437266168,0.99654927,0.998051592,0.162344685,0.542784662,0.06752227,58.37561531
-119.4769444,46.2536111,142,31119.07894,0.104081143,0.054833293,0.632155707,0,0,0.149573382,0.059356475,0,21,39,40,189,11.82499981,172.6666667,1.46,0.435169252,0.996630934,0.99861535,0.162065067,0.545084245,0.080780087,57.99776752
-108.375417,42.9975,1500,20560.12545,0.018463009,0.010006227,0.573808593,0.000991934,0.000108606,0.211948101,0.184673531,0,24,58,18,214,7.10416651,187.1666667,3.16,0.456988026,0.996885687,0.998717942,0.172041854,0.547425019,0.085555912,57.86165652
-108.375417,42.9975,1500,20560.12545,0.018463009,0.010006227,0.573808593,0.000991934,0.000108606,0.211948101,0.184673531,0,24,58,18,214,7.10416651,187.1666667,2.25,0.465385724,0.996889721,0.998740364,0.17563287,0.548538115,0.090120936,57.73155331
-120.8589539,44.30044806,869,39625.70243,0.11665307,0.026559784,0.637860462,0.000737772,0,0.169325719,0.048863193,0,23,36,41,264,8.67083359,181.3333333,5.42,0.483015218,0.996513595,0.998493269,0.178196152,0.541655063,0.073729131,58.19871977
